"","newid","intno","year","firmth","nint","cdall","age","white","black","male","hsgrad","lesscol","colgrad","fam_size","nchle11","nch1217","persot64","hw","single","hwyng","hwchbs","hwchis","hwchas","spchbs","spchis","hwold","retired","headwrk","spouwrk","incweek1","inc_hrs1","incweek2","inc_hrs2","fincreal","owner","renter","ne","mw","west","urban","msa","ps4mil","ps1mil","ps330k","ps125k","tv","comp","sound","vcr","vehq","coldormi","occucod1","weight"
"5392",84681,5,1998,3,1,0,33,1,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,52,40,0,0,4.589769,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,21647.41
"5393",95541,3,1998,12,1,0,81,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1.006548,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,2,0,-1,24561.55
"5394",110412,5,2000,12,1,0,64,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,48,40,0,0,2.235788,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,2,0,10,5638.328
"5395",85673,5,1998,5,1,80.0001,41,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,60,0,0,5.1,0,1,0,0,0,1,1,0,0,0,1,2,1,1,1,2,0,1,26763.9
"5396",85611,4,1998,3,1,0,75,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,-1,20336.51
"5397",114912,2,2000,7,0,28.24859,35,1,0,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,52,40,36,80,7.062147,1,0,1,0,0,1,1,0,0,0,1,2,1,1,2,2,0,3,13147.36
"5398",109528,3,2000,1,1,0,30,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,51,40,0,0,0.9587728,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,10,12048.13
"5399",105246,4,2000,3,1,14.27212,20,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0.5708849,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,-1,14957.67
"5400",111455,4,2000,11,1,0,64,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,40,0,0,2.200935,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,7,15464.66
"5401",115690,4,2000,8,1,0,23,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,35,0,0,0.7518797,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,15800.59
"5402",97133,4,1998,12,1,0,82,1,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0.1083333,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,14263.14
"5403",102147,5,2000,2,1,0,60,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,50,40,0,0,0.4645038,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,7,15455.45
"5404",108886,3,2000,1,1,0,34,1,0,1,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,32,40,52,40,6.711409,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,15382.39
"5405",110234,3,2000,4,1,28.463,37,1,0,1,1,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,52,65,52,16,5.028463,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,7,7489.994
"5406",110728,4,2000,3,1,0,22,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,40,0,0,1.569933,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,13,20272.94
"5407",114648,2,2000,9,0,0,60,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0.05117151,1,0,0,1,0,1,1,0,1,0,0,3,1,1,1,1,0,-1,5754.347
"5408",97214,2,1998,11,1,39.72195,41,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,60,0,0,3.87289,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,15,14126.61
"5409",84673,5,1998,1,1,27.19033,45,1,0,1,0,0,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,52,48,52,40,7.15005,1,0,0,0,0,1,1,0,0,0,1,3,0,0,0,2,0,8,16031.19
"5410",89829,2,1998,3,1,0,32,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,40,0,0,5.287061,1,0,1,0,0,1,1,1,0,0,0,4,1,1,4,1,0,15,25416.01
"5411",114312,2,2000,7,1,0,48,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,52,40,0,0,3.596987,1,0,0,1,0,1,1,1,0,0,0,2,0,0,1,1,0,5,12996.93
"5412",102511,5,2000,3,1,0,29,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,36,40,52,60,0,1,0,0,1,0,1,1,1,0,0,0,2,1,1,1,2,0,14,14326.18
"5413",94186,5,1998,10,1,99.40358,23,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,40,0,0,1.968191,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,5,19585.01
"5414",105941,3,2000,1,1,0,40,1,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,52,60,0,0,2.234324,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,5,0,5,18995.98
"5415",84606,5,1998,2,1,0,81,1,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,3,0,0,0,2,0,-1,15332.16
"5416",89111,3,1998,3,1,0,81,1,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,1.976329,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,-1,14057.34
"5417",94573,3,1998,11,1,0,40,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,-1,15421.02
